Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
129,95460,-216.717,1e+20,433013,1,1365.96,0.00398687,1123.01,-572200,150000,95460,0,177799,0,0.3,20.4552,51.4715,1e+20,1,150000,95460,-216.717,1149.24
130,96200,-214.916,1e+20,433013,1,1361.91,0.00398992,1120.97,-571802,150000,96200,0,178198,0,0.3,20.455,51.7979,1e+20,1,150000,96200,-214.916,1146.99
131,96940,-213.155,1e+20,433013,1,1357.89,0.00399301,1118.93,-571401,150000,96940,0,178598,0,0.3,20.4528,52.1253,1e+20,1,150000,96940,-213.155,1144.73
132,97680,-211.416,1e+20,433013,1,1353.88,0.00399612,1116.87,-570999,150000,97680,0,179001,0,0.3,20.4487,52.4519,1e+20,1,150000,97680,-211.416,1142.46
133,98420,-209.693,1e+20,433013,1,1349.87,0.00399924,1114.79,-570594,150000,98420,0,179406,0,0.3,20.4421,52.7764,1e+20,1,150000,98420,-209.693,1140.17
134,99160,-208.008,1e+20,433013,1,1345.89,0.00400239,1112.7,-570186,150000,99160,0,179813,0,0.3,20.4337,53.1014,1e+20,1,150000,99160,-208.008,1137.88
135,99900,-206.362,1e+20,433013,1,1341.94,0.00400559,1110.59,-569778,150000,99900,0,180222,0,0.3,20.4232,53.4271,1e+20,1,150000,99900,-206.362,1135.57
136,100640,-204.74,1e+20,433013,1,1338,0.0040088,1108.47,-569366,150000,100640,0,180633,0,0.3,20.4108,53.7519,1e+20,1,150000,100640,-204.74,1133.26
137,101380,-203.142,1e+20,433013,1,1334.07,0.00401202,1106.34,-568953,150000,101380,0,181047,0,0.3,20.3961,54.0751,1e+20,1,150000,101380,-203.142,1130.93
138,102120,-201.586,1e+20,433013,1,1330.17,0.00401529,1104.18,-568537,150000,102120,0,181462,0,0.3,20.3795,54.3992,1e+20,1,150000,102120,-201.586,1128.58
139,102860,-200.068,1e+20,433013,1,1326.3,0.00401859,1102.01,-568120,150000,102860,0,181880,0,0.3,20.361,54.7238,1e+20,1,150000,102860,-200.068,1126.23
140,103600,-198.577,1e+20,433013,1,1322.45,0.00402191,1099.83,-567701,150000,103600,0,182299,0,0.3,20.3404,55.0473,1e+20,1,150000,103600,-198.577,1123.87
141,104340,-197.116,1e+20,433013,1,1318.61,0.00402525,1097.63,-567279,150000,104340,0,182721,0,0.3,20.3178,55.3697,1e+20,1,150000,104340,-197.116,1121.49
142,105080,-195.7,1e+20,433013,1,1314.8,0.00402863,1095.41,-566855,150000,105080,0,183144,0,0.3,20.2932,55.6934,1e+20,1,150000,105080,-195.7,1119.1
143,105820,-194.32,1e+20,433013,1,1311.03,0.00403205,1093.18,-566430,150000,105820,0,183570,0,0.3,20.2668,56.0175,1e+20,1,150000,105820,-194.32,1116.7
